Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 25.00      0.22     0.22  5087329     0.00     0.00  validateMove
 17.05      0.37     0.15  7603441     0.00     0.00  ApplyNormalMove
 15.91      0.51     0.14  7603441     0.00     0.00  RevertNormalMove
  9.09      0.59     0.08        1    80.00   830.00  foo
  6.82      0.65     0.06  2555842     0.00     0.00  ApplyPawnDoublePushMove
  5.68      0.70     0.05  2555842     0.00     0.00  RevertPawnDoublePushMove
  4.55      0.74     0.04                             __umoddi3
  3.41      0.77     0.03   206604     0.00     0.00  validateCheck
  2.27      0.79     0.02  2238260     0.00     0.00  getSquare
  2.27      0.81     0.02   206604     0.00     0.00  getBishopMoves
  2.27      0.83     0.02   206604     0.00     0.00  getKnightMoves
  2.27      0.85     0.02   206604     0.00     0.00  getRookMoves
  1.14      0.86     0.01   206604     0.00     0.00  getKingMoves
  1.14      0.87     0.01   206604     0.00     0.00  getPawnMoves
  1.14      0.88     0.01        1    10.00    10.00  generateMoveDatabaseRook
  0.00      0.88     0.00   245095     0.00     0.00  ApplyBreaksBothCastlesMove
  0.00      0.88     0.00   245095     0.00     0.00  RevertBreaksBothCastlesMove
  0.00      0.88     0.00   206604     0.00     0.00  getAllMoves
  0.00      0.88     0.00   206604     0.00     0.00  getQueenMoves
  0.00      0.88     0.00   166782     0.00     0.00  ApplyBreaksRightCastleMove
  0.00      0.88     0.00   166782     0.00     0.00  RevertBreaksRightCastleMove
  0.00      0.88     0.00   166674     0.00     0.00  ApplyBreaksLeftCastleMove
  0.00      0.88     0.00   166674     0.00     0.00  RevertBreaksLeftCastleMove
  0.00      0.88     0.00   107776     0.00     0.00  getSetBits
  0.00      0.88     0.00      256     0.00     0.00  countSetBits
  0.00      0.88     0.00        1     0.00     0.00  BoardDeInit
  0.00      0.88     0.00        1     0.00    10.00  BoardInit
  0.00      0.88     0.00        1     0.00     0.00  generateKingMap
  0.00      0.88     0.00        1     0.00     0.00  generateKnightMap
  0.00      0.88     0.00        1     0.00     0.00  generateMoveDatabaseBishop
  0.00      0.88     0.00        1     0.00     0.00  generateOccupancyMaskBishop
  0.00      0.88     0.00        1     0.00     0.00  generateOccupancyMaskRook
  0.00      0.88     0.00        1     0.00     0.00  generateOccupancyVariationBishop
  0.00      0.88     0.00        1     0.00     0.00  generateOccupancyVariationRook
