                            Win;  Loss;  Draw;   Elo;  Diff;   Final;
   Ethereal7.40-Win64.exe      ;      ;      ;      ;      ;    2172;
          BikJump2.01.exe   541;   346;   138;  2100;    67;    2167;
          MadChess2.0.exe   313;   469;    93;  2288;   -63;    2225;
           Monarch1.7.exe   430;   285;   135;  2056;    60;    2116;
          Clarabit1.0.exe   607;   275;   143;  2100;   117;    2217;
             Glass1.3.exe   232;   701;    92;  2358;  -172;    2186;
          Sungorus1.4.exe   168;   577;   105;  2308;  -182;    2126;


                            Win;  Loss;  Draw;   Elo;  Diff;   Final;
   Ethereal7.42-Win64.exe      ;      ;      ;      ;      ;    2189;
          BikJump2.01.exe  1352;   896;   392;  2100;    61;    2161;
          MadChess2.0.exe   921;  1369;   300;  2288;   -61;    2227;
           Monarch1.7.exe  1416;   751;   398;  2056;    92;    2148;
          Clarabit1.0.exe  1579;   671;   386;  2100;   125;    2225;
             Glass1.3.exe   635;  1697;   259;  2358;  -151;    2207;
          Sungorus1.4.exe   623;  1605;   312;  2308;  -142;    2166;


                            Win;  Loss;  Draw;   Elo;  Diff;   Final;
   Ethereal7.49-Win64.exe      ;      ;      ;      ;      ;    2196;
          BikJump2.01.exe   459;   269;   122;  2100;    79;    2179;
          MadChess2.0.exe   314;   439;    72;  2288;   -53;    2235;
             Glass1.3.exe   212;   530;    83;  2358;  -141;    2217;
          Clarabit1.0.exe   531;   198;   121;  2100;   144;    2244;
           Monarch1.7.exe   428;   259;   113;  2056;    75;    2131;
          Sungorus1.4.exe   198;   499;   103;  2308;  -137;    2171;
