Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 16.21      1.97     1.97  2814275     0.00     0.00  findAllValidMoves
 14.53      3.73     1.76 141172137     0.00     0.00  compareKey
 10.53      5.01     1.28 11650089     0.00     0.00  checkMove
  8.31      6.03     1.01 84992590     0.00     0.00  createNormalMove
  7.16      6.89     0.87  1856007     0.00     0.00  encodeBoard
  6.71      7.71     0.81  1856007     0.00     0.00  getElement
  5.84      8.42     0.71  2547162     0.00     0.00  evaluateMoves
  5.51      9.09     0.67 13931885     0.00     0.00  findMappedIters
  4.44      9.63     0.54  1540692     0.00     0.00  insertElement
  4.07     10.12     0.49  8371361     0.00     0.00  findMappedNoIters
  3.62     10.56     0.44  1273581     0.00     0.00  evaluateMaterial
  3.05     10.94     0.37  2814275     0.00     0.00  determineCheckValidations
  2.92     11.29     0.35 22031257     0.00     0.00  findPawnMoves
  2.47     11.59     0.30 22002312     0.00     0.00  checkDirection
  1.15     11.73     0.14   267111     0.00     0.00  weakHeuristic
  1.07     11.86     0.13  2814275     0.00     0.00  findCastles
  0.99     11.98     0.12  7988501     0.00     0.00  revertNormalMove
  0.66     12.06     0.08  7988501     0.00     0.00  applyNormalMove
  0.41     12.11     0.05       60     0.00     0.20  alphaBetaPrune
  0.16     12.13     0.02    23514     0.00     0.00  createCastleMove
  0.08     12.14     0.01  1856007     0.00     0.00  revertGenericMove
  0.08     12.15     0.01   203449     0.00     0.00  fillDirection
  0.00     12.15     0.00  1856007     0.00     0.00  applyGenericMove
  0.00     12.15     0.00  1540692     0.00     0.00  createNode
  0.00     12.15     0.00  1273581     0.00     0.00  evaluateBoard
  0.00     12.15     0.00    23664     0.00     0.00  applyCastleMove
  0.00     12.15     0.00    23664     0.00     0.00  revertCastleMove
  0.00     12.15     0.00    18004     0.00     0.00  createPromotionMove
  0.00     12.15     0.00     9490     0.00     0.00  createEnpassMove
  0.00     12.15     0.00     2528     0.00     0.00  applyPromotionMove
  0.00     12.15     0.00     2528     0.00     0.00  revertPromotionMove
  0.00     12.15     0.00      680     0.00     0.00  applyEnpassMove
  0.00     12.15     0.00      680     0.00     0.00  revertEnpassMove
  0.00     12.15     0.00      196     0.00     0.00  convChar
  0.00     12.15     0.00        6     0.00     0.00  createTree
  0.00     12.15     0.00        2     0.00     4.05  goodHeuristic
  0.00     12.15     0.00        1     0.00     0.00  createTable
  0.00     12.15     0.00        1     0.00    12.15  findBestMoveIndex
